source_url	parsed_url
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20in%20line%20to%20get%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20will%20make%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20to%20reserve%20a%20place%20in%20line%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://1.1.1.1/site-f1f3aac4ec45c008dfa7.css
https://1.1.1.1/	https://blog.cloudflare.com/announcing-the-beta-for-warp-for-macos-and-windows
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://1.1.1.1/#subscription-form
https://1.1.1.1/	https://1.1.1.1/family/
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://regex101.com/	https://regex101.com/static/assets/apple-icon-76x76.png
https://regex101.com/	https://regex101.com/
https://regex101.com/	https://regex101.com/static/assets/apple-icon-72x72.png
https://regex101.com/	https://regex101.com/static/assets/android-icon-192x192.png
https://regex101.com/	https://regex101.com/static/bundle.0c25b64bab40878ef317.css
https://regex101.com/	https://twitter.com/regex101
https://regex101.com/	https://regex101.com/static/assets/manifest.webmanifest
https://regex101.com/	https://www.paypal.com/cgi-bin/webscr?cmd=_donations&amp;business=firas%2edib%40gmail%2ecom&amp;lc=US&amp;item_name=Regex101&amp;no_note=0&amp;currency_code=USD&amp;bn=PP%2dDonationsBF%3abtn_donate_SM%2egif%3aNonHostedGuest
https://regex101.com/	https://regex101.com/static/assets/apple-icon-180x180.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-120x120.png
https://regex101.com/	https://regex101.com/static/assets/favicon-32x32.png
https://regex101.com/	https://github.com/firasdib/Regex101/issues
https://regex101.com/	https://regex101.com/static/assets/apple-icon-60x60.png
https://regex101.com/	https://regex101.com/static/assets/favicon.ico
https://regex101.com/	https://regex101.com/static/assets/apple-icon-57x57.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-144x144.png
https://regex101.com/	https://regex101.com/static/assets/favicon-96x96.png
https://regex101.com/	https://regex101.com/tests
https://regex101.com/	https://regex101.com/static/assets/apple-icon-114x114.png
https://regex101.com/	https://regex101.com/static/manifest.json
https://regex101.com/	https://github.com/firasdib/Regex101/wiki
https://regex101.com/	https://regex101.com/static/assets/apple-icon-152x152.png
https://regex101.com/	http://enable-javascript.com/
https://regex101.com/	mailto:contact@regex101.com
https://regex101.com/	https://regex101.com/static/assets/favicon-16x16.png
https://www.mediamatters.org/	https://www.mediamatters.org/mark-levin/mark-levin-they-constantly-attack-society-generally-systemically-racist-when-facts
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_vUt0GK4OfEXUi5i0VJuEV9nf8bDJwmJWZVb1Ca5G1yM.css
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/crime-and-criminal-justice/after-former-officer-was-arrested-and-charged-george-floyds-murder
https://www.mediamatters.org/	https://www.mediamatters.org/lgbtq
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/donald-trump/real-purpose-trumps-executive-order-intimidating-social-media-companies
https://www.mediamatters.org/	https://www.mediamatters.org/#main-content
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/qanon-conspiracy-theory/qanon-app-banned-google-relaunched-using-amazon
https://www.mediamatters.org/	https://www.mediamatters.org/trumprussia/obamagate-just-rebrand-rights-bogus-deep-state-conspiracy-theory
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/homepage
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/despite-video-evidence-fox-news-covers-minnesota-police-who-arrested-black-cnn-reporter
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/foxs-weekslong-campaign-downplay-americas-coronavirus-death-toll
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-returns-fox-news-advertisers-are-staying-away
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-fox-news-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/karl-rove/karl-rove-continues-fox-news-analysis-election-campaign-without-disclosing-trump-campaign
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://mediamattersforamerica.tumblr.com/
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/	https://www.mediamatters.org/these-are-tucker-carlsons-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/mark-zuckerberg-hypocrite-and-trumpist
https://www.mediamatters.org/	https://www.mediamatters.org/new-york-times/major-outlets-disrespectfully-deadnamed-trans-trailblazer-aimee-stephens-after-death
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/donald-trump/timeline-how-baseless-right-wing-claims-about-tech-bias-led-trump-drafting-executive
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/#tumblr
https://www.mediamatters.org/	https://www.mediamatters.org/qanon-conspiracy-theory/trump-quote-tweeted-qanon-account-linked-far-right-militia-group
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/after-president-threatened-massacre-civilians-fox-news-focused-twitters-warning-sticker
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/fox-contributor-i-wouldnt-inject-race-killing-george-floyd
https://www.mediamatters.org/	https://www.mediamatters.org/#video
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/anti-abortion-misinformation-promoted-during-coronavirus-pandemic
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/planned-parenthood/right-wing-figures-dishonestly-attack-planned-parenthood-over-coronavirus
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-bernie-kerik-suggests-trump-send-enormous-amount-manpower-american-cities
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-calls-barack-obama-americas-chief-racial-arsonist
https://www.mediamatters.org/	https://www.mediamatters.org/#study
https://www.mediamatters.org/	https://www.mediamatters.org/trumprussia/fox-news-why-trump-thinks-he-can-get-away-nixonian-corruption-barrs-doj
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/how-fox-news-pushed-propaganda-about-el-paso-mass-shooting
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.mediamatters.org/take-action
https://www.mediamatters.org/	https://www.mediamatters.org/trumprussia/richard-grenells-flynn-unmasking-noninformation-campaign
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://www.mediamatters.org/rush-limbaugh/rush-limbaugh-praises-president-being-clever-sharing-conspiracy-theories
https://www.mediamatters.org/	https://www.mediamatters.org/#narrative
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/uprisings-response-officer-killings-george-floyd-and-breonna-taylor-police
https://www.mediamatters.org/	https://www.mediamatters.org/lou-dobbs/lou-dobbs-calls-black-minneapolis-community-leaders-pathetic-amid-civil-unrest
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/sean-hannity-attacks-cardi-bs-response-minneapolis-protests
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/broadcast-and-cable-news-are-ignoring-brazen-big-polluter-agenda-happening
https://www.mediamatters.org/	https://www.mediamatters.org/joe-scarborough/joe-scarborough-conspiracy-theory-donald-trump-sending-mob-boss-message
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/these-are-sean-hannitys-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/jeanine-pirro/these-are-jeanine-pirros-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/heres-data-facebooks-bias-report-doesnt-show-you
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-doesnt-want-its-viewers-know-more-100000-americans-have-died-coronavirus
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/all-guests-invited-discuss-killing-george-floyd-weekday-cable-news
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/#search
https://www.mediamatters.org/	https://www.mediamatters.org/laura-ingraham/laura-ingraham-says-trump-can-relate-police-brutality-because-he-went-through-russia
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/bombshell-report-facebook-has-known-it-fomenting-extremism-years-and-refuses-stop
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/fox-news-ignoring-trumps-conspiracy-theory-about-joe-scarborough-while-sean-hannity
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/it-categorically-wrong-blame-mental-illness-mass-shootings-heres-why
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/broadcast-networks/corporate-tv-news-largely-ignored-relationship-between-environmental-justice-and
https://www.mediamatters.org/	https://www.mediamatters.org/#audio
https://www.mediamatters.org/	https://www.mediamatters.org/daily-wire/daily-wire-hosts-demean-trans-high-school-athletes-center-alliance-defending-case
